"country","dose","slope"
"Bangladesh","DTP1",0.108
"Bangladesh","DTP3",0.105
"Bangladesh","measles1",0.133
"Ethiopia","DTP1",0.07
"Ethiopia","DTP3",0.087
"Ethiopia","measles1",0.057
"Global","DTP1",0.022
"Global","DTP3",0.029
"Global","measles1",0.027
"India","DTP1",0.089
"India","DTP3",0.112
"India","measles1",0.127
"Indonesia","DTP1",0.051
"Indonesia","DTP3",0.059
"Indonesia","measles1",0.059
"Nigeria","DTP1",0.048
"Nigeria","DTP3",0.068
"Nigeria","measles1",0.045
"Pakistan","DTP1",0.05
"Pakistan","DTP3",0.044
"Pakistan","measles1",0.051
"Philippines","DTP1",-0.02
"Philippines","DTP3",0
"Philippines","measles1",-0.027
